AUT-JOR,Bảng J,2026-06-17T04:00:00.000Z,Áo,Jordan,-1,upcoming,,
POR-COD,Bảng K,2026-06-17T17:00:00.000Z,Bồ Đào Nha,CH Congo,-1.5,upcoming,,
ENG-CRO,Bảng L,2026-06-17T20:00:00.000Z,Anh,Croatia,-1,upcoming,,
GHA-PAN,Bảng L,2026-06-17T23:00:00.000Z,Ghana,Panama,-0.5,upcoming,,
UZB-COL,Bảng K,2026-06-18T02:00:00.000Z,Uzbekistan,Colombia,0.5,upcoming,,
CZE-RSA,Bảng A,2026-06-18T16:00:00.000Z,Séc,Nam Phi,-0.5,upcoming,,
SUI-BIH,Bảng B,2026-06-18T19:00:00.000Z,Thụy Sĩ,Bosnia,-0.5,upcoming,,
CAN-QAT,Bảng B,2026-06-18T22:00:00.000Z,Canada,Qatar,,upcoming,,
MEX-KOR,Bảng A,2026-06-19T01:00:00.000Z,Mexico,Hàn Quốc,,upcoming,,
USA-AUS,Bảng D,2026-06-19T19:00:00.000Z,Mỹ,Úc,,upcoming,,
SCO-MAR,Bảng C,2026-06-19T22:00:00.000Z,Scotland,Ma Rốc,,upcoming,,
BRA-HAI,Bảng C,2026-06-20T01:00:00.000Z,Brazil,Haiti,,upcoming,,
TUR-PAR,Bảng D,2026-06-20T04:00:00.000Z,Thổ Nhĩ Kỳ,Paraguay,,upcoming,,
NED-SWE,Bảng F,2026-06-20T17:00:00.000Z,Hà Lan,Thụy Điển,,upcoming,,
GER-CIV,Bảng E,2026-06-20T20:00:00.000Z,Đức,Bờ Biển Ngà,,upcoming,,
ECU-CUR,Bảng E,2026-06-21T00:00:00.000Z,Ecuador,Curaçao,,upcoming,,
TUN-JPN,Bảng F,2026-06-21T04:00:00.000Z,Tunisia,Nhật Bản,,upcoming,,
ESP-KSA,Bảng H,2026-06-21T16:00:00.000Z,Tây Ban Nha,Ả Rập Xê Út,,upcoming,,
BEL-IRN,Bảng G,2026-06-21T19:00:00.000Z,Bỉ,Iran,,upcoming,,
URU-CPV,Bảng H,2026-06-21T22:00:00.000Z,Uruguay,Cabo Verde,,upcoming,,
NZL-EGY,Bảng G,2026-06-22T01:00:00.000Z,New Zealand,Ai Cập,,upcoming,,
ARG-AUT,Bảng J,2026-06-22T17:00:00.000Z,Argentina,Áo,,upcoming,,
FRA-IRQ,Bảng I,2026-06-22T21:00:00.000Z,Pháp,Iraq,,upcoming,,
NOR-SEN,Bảng I,2026-06-23T00:00:00.000Z,Na Uy,Senegal,,upcoming,,
JOR-ALG,Bảng J,2026-06-23T03:00:00.000Z,Jordan,Algérie,,upcoming,,
POR-UZB,Bảng K,2026-06-23T17:00:00.000Z,Bồ Đào Nha,Uzbekistan,,upcoming,,
ENG-GHA,Bảng L,2026-06-23T20:00:00.000Z,Anh,Ghana,,upcoming,,
PAN-CRO,Bảng L,2026-06-23T23:00:00.000Z,Panama,Croatia,,upcoming,,
COL-COD,Bảng K,2026-06-24T02:00:00.000Z,Colombia,CH Congo,,upcoming,,
SUI-CAN,Bảng B,2026-06-24T19:00:00.000Z,Thụy Sĩ,Canada,,upcoming,,
BIH-QAT,Bảng B,2026-06-24T19:00:00.000Z,Bosnia,Qatar,,upcoming,,
SCO-BRA,Bảng C,2026-06-24T22:00:00.000Z,Scotland,Brazil,,upcoming,,
MAR-HAI,Bảng C,2026-06-24T22:00:00.000Z,Ma Rốc,Haiti,,upcoming,,
CZE-MEX,Bảng A,2026-06-25T01:00:00.000Z,Séc,Mexico,,upcoming,,
RSA-KOR,Bảng A,2026-06-25T01:00:00.000Z,Nam Phi,Hàn Quốc,,upcoming,,
CUR-CIV,Bảng E,2026-06-25T20:00:00.000Z,Curaçao,Bờ Biển Ngà,,upcoming,,
ECU-GER,Bảng E,2026-06-25T20:00:00.000Z,Ecuador,Đức,,upcoming,,
JPN-SWE,Bảng F,2026-06-25T23:00:00.000Z,Nhật Bản,Thụy Điển,,upcoming,,
TUN-NED,Bảng F,2026-06-25T23:00:00.000Z,Tunisia,Hà Lan,,upcoming,,
TUR-USA,Bảng D,2026-06-26T02:00:00.000Z,Thổ Nhĩ Kỳ,Mỹ,,upcoming,,
PAR-AUS,Bảng D,2026-06-26T02:00:00.000Z,Paraguay,Úc,,upcoming,,
NOR-FRA,Bảng I,2026-06-26T19:00:00.000Z,Na Uy,Pháp,,upcoming,,
SEN-IRQ,Bảng I,2026-06-26T19:00:00.000Z,Senegal,Iraq,,upcoming,,
CPV-KSA,Bảng H,2026-06-27T00:00:00.000Z,Cabo Verde,Ả Rập Xê Út,,upcoming,,
URU-ESP,Bảng H,2026-06-27T00:00:00.000Z,Uruguay,Tây Ban Nha,,upcoming,,
EGY-IRN,Bảng G,2026-06-27T03:00:00.000Z,Ai Cập,Iran,,upcoming,,
NZL-BEL,Bảng G,2026-06-27T03:00:00.000Z,New Zealand,Bỉ,,upcoming,,
PAN-ENG,Bảng L,2026-06-27T21:00:00.000Z,Panama,Anh,,upcoming,,
CRO-GHA,Bảng L,2026-06-27T21:00:00.000Z,Croatia,Ghana,,upcoming,,
COL-POR,Bảng K,2026-06-27T23:30:00.000Z,Colombia,Bồ Đào Nha,,upcoming,,
COD-UZB,Bảng K,2026-06-27T23:30:00.000Z,CH Congo,Uzbekistan,,upcoming,,
ALG-AUT,Bảng J,2026-06-28T02:00:00.000Z,Algérie,Áo,,upcoming,,
JOR-ARG,Bảng J,2026-06-28T02:00:00.000Z,Jordan,Argentina,,upcoming,,
FIX-001,Vòng 32,2026-06-28T19:00:00.000Z,2A,2B,,pending,,
FIX-002,Vòng 32,2026-06-29T17:00:00.000Z,1C,2F,,pending,,
FIX-003,Vòng 32,2026-06-29T20:30:00.000Z,1E,3ABCDEF,,pending,,
FIX-004,Vòng 32,2026-06-30T01:00:00.000Z,1F,2C,,pending,,
FIX-005,Vòng 32,2026-06-30T17:00:00.000Z,2E,2I,,pending,,
FIX-006,Vòng 32,2026-06-30T21:00:00.000Z,1I,3CDEFGH,,pending,,
FIX-007,Vòng 32,2026-07-01T01:00:00.000Z,1A,3CEFHI,,pending,,
FIX-008,Vòng 32,2026-07-01T16:00:00.000Z,1L,3EHIJK,,pending,,
FIX-009,Vòng 32,2026-07-01T20:00:00.000Z,1G,3AEHIJ,,pending,,
FIX-010,Vòng 32,2026-07-02T00:00:00.000Z,1D,3BEFIJ,,pending,,
FIX-011,Vòng 32,2026-07-02T19:00:00.000Z,1H,2J,,pending,,
FIX-012,Vòng 32,2026-07-02T23:00:00.000Z,2K,2L,,pending,,
FIX-013,Vòng 32,2026-07-03T03:00:00.000Z,1B,3EFGIJ,,pending,,
FIX-014,Vòng 32,2026-07-03T18:00:00.000Z,2D,2G,,pending,,
FIX-015,Vòng 32,2026-07-03T22:00:00.000Z,1J,2H,,pending,,
FIX-016,Vòng 32,2026-07-04T01:30:00.000Z,1K,3DEIJL,,pending,,
FIX-017,Vòng 16,2026-07-04T17:00:00.000Z,TBD,TBD,,pending,,
FIX-018,Vòng 16,2026-07-04T21:00:00.000Z,TBD,TBD,,pending,,
FIX-019,Vòng 16,2026-07-05T20:00:00.000Z,TBD,TBD,,pending,,
FIX-020,Vòng 16,2026-07-06T00:00:00.000Z,TBD,TBD,,pending,,
FIX-021,Vòng 16,2026-07-06T19:00:00.000Z,TBD,TBD,,pending,,
FIX-022,Vòng 16,2026-07-07T00:00:00.000Z,TBD,TBD,,pending,,
FIX-023,Vòng 16,2026-07-07T16:00:00.000Z,TBD,TBD,,pending,,
FIX-024,Vòng 16,2026-07-07T20:00:00.000Z,TBD,TBD,,pending,,
FIX-200,Tứ Kết,2026-07-09T20:00:00.000Z,TBD,TBD,,pending,,
FIX-201,Tứ Kết,2026-07-10T19:00:00.000Z,TBD,TBD,,pending,,
FIX-202,Tứ Kết,2026-07-11T21:00:00.000Z,TBD,TBD,,pending,,
FIX-203,Tứ Kết,2026-07-12T01:00:00.000Z,TBD,TBD,,pending,,
FIX-204,Bán Kết,2026-07-14T19:00:00.000Z,TBD,TBD,,pending,,
FIX-205,Bán Kết,2026-07-15T19:00:00.000Z,TBD,TBD,,pending,,
FIX-206,Hạng 3,2026-07-18T21:00:00.000Z,TBD,TBD,,pending,,
FIX-207,Chung Kết,2026-07-19T19:00:00.000Z,TBD,TBD,,pending,,
